,0,1,2,3,4,5,6,7,8,9,AIC,BIC
51,0,0,0,0,1,1,0,0,1,1,37.94367448,70.93759806
60,0,0,0,0,1,1,1,1,0,0,37.97105859,70.96498216
576,1,0,0,1,0,0,0,0,0,0,42.69415542,70.97466134
768,1,1,0,0,0,0,0,0,0,0,42.69865294,70.97915886
640,1,0,1,0,0,0,0,0,0,0,42.72366052,71.00416644
320,0,1,0,1,0,0,0,0,0,0,42.83289079,71.11339671
192,0,0,1,1,0,0,0,0,0,0,42.98096598,71.2614719
384,0,1,1,0,0,0,0,0,0,0,43.42478727,71.70529319
674,1,0,1,0,1,0,0,0,1,0,38.76070451,71.75462809
928,1,1,1,0,1,0,0,0,0,0,38.76427134,71.75819492
165,0,0,1,0,1,0,0,1,0,1,38.99310281,71.98702639
136,0,0,1,0,0,0,1,0,0,0,43.71406402,71.99456994
690,1,0,1,0,1,1,0,0,1,0,36.65684028,72.00747268
626,1,0,0,1,1,1,0,0,1,0,36.67738208,72.02801448
132,0,0,1,0,0,0,0,1,0,0,43.75169044,72.03219636
433,0,1,1,0,1,1,0,0,0,1,36.76599786,72.11663026
434,0,1,1,0,1,1,0,0,1,0,36.76783873,72.11847113
736,1,0,1,1,1,0,0,0,0,0,39.1285316,72.12245518
130,0,0,1,0,0,0,0,0,1,0,43.84632699,72.12683291
436,0,1,1,0,1,1,0,1,0,0,36.78352739,72.13415979
752,1,0,1,1,1,1,0,0,0,0,36.78440487,72.13503727
944,1,1,1,0,1,1,0,0,0,0,36.7924716,72.143104
241,0,0,1,1,1,1,0,0,0,1,36.79603637,72.14666877
242,0,0,1,1,1,1,0,0,1,0,36.8009784,72.1516108
496,0,1,1,1,1,1,0,0,0,0,36.8010721,72.1517045
689,1,0,1,0,1,1,0,0,0,1,36.80619155,72.15682395
356,0,1,0,1,1,0,0,1,0,0,39.17534069,72.16926426
313,0,1,0,0,1,1,1,0,0,1,36.8214574,72.1720898
248,0,0,1,1,1,1,1,0,0,0,36.82295314,72.17358554
696,1,0,1,0,1,1,1,0,0,0,36.82516083,72.17579323
440,0,1,1,0,1,1,1,0,0,0,36.82562069,72.17625309
692,1,0,1,0,1,1,0,1,0,0,36.82628719,72.17691959
244,0,0,1,1,1,1,0,1,0,0,36.82700957,72.17764197
480,0,1,1,1,1,0,0,0,0,0,39.18566219,72.17958576
118,0,0,0,1,1,1,0,1,1,0,36.83820057,72.18883297
310,0,1,0,0,1,1,0,1,1,0,36.84563046,72.19626286
309,0,1,0,0,1,1,0,1,0,1,36.84964699,72.20027939
369,0,1,0,1,1,1,0,0,0,1,36.85358804,72.20422044
880,1,1,0,1,1,1,0,0,0,0,36.85821261,72.20884501
625,1,0,0,1,1,1,0,0,0,1,36.85960924,72.21024164
628,1,0,0,1,1,1,0,1,0,0,36.86009614,72.21072854
314,0,1,0,0,1,1,1,0,1,0,36.86268473,72.21331713
818,1,1,0,0,1,1,0,0,1,0,36.86372859,72.21436099
307,0,1,0,0,1,1,0,0,1,1,36.86489399,72.21552639
817,1,1,0,0,1,1,0,0,0,1,36.8666391,72.2172715
370,0,1,0,1,1,1,0,0,1,0,36.87112556,72.22175796
129,0,0,1,0,0,0,0,0,0,1,43.94550841,72.22601433
673,1,0,1,0,1,0,0,0,0,1,39.23519183,72.2291154
676,1,0,1,0,1,0,0,1,0,0,39.2388838,72.23280737
680,1,0,1,0,1,0,1,0,0,0,39.2400863,72.23400987
569,1,0,0,0,1,1,1,0,0,1,36.89246141,72.24309381
820,1,1,0,0,1,1,0,1,0,0,36.90374695,72.25437935
316,0,1,0,0,1,1,1,1,0,0,36.92256102,72.27319342
232,0,0,1,1,1,0,1,0,0,0,39.28252405,72.27644763
632,1,0,0,1,1,1,1,0,0,0,36.92801709,72.27864949
228,0,0,1,1,1,0,0,1,0,0,39.28749718,72.28142075
372,0,1,0,1,1,1,0,1,0,0,36.93507958,72.28571198
824,1,1,0,0,1,1,1,0,0,0,36.93584246,72.28647486
225,0,0,1,1,1,0,0,0,0,1,39.29296781,72.28689138
226,0,0,1,1,1,0,0,0,1,0,39.29376163,72.28768521
81,0,0,0,1,0,1,0,0,0,1,41.65102394,72.28823868
121,0,0,0,1,1,1,1,0,0,1,36.95388373,72.30451613
117,0,0,0,1,1,1,0,1,0,1,36.95687042,72.30750282
553,1,0,0,0,1,0,1,0,0,1,39.31413505,72.30805863
105,0,0,0,1,1,0,1,0,0,1,39.31881716,72.31274073
566,1,0,0,0,1,1,0,1,1,0,36.97228691,72.32291931
549,1,0,0,0,1,0,0,1,0,1,39.3317189,72.32564248
181,0,0,1,0,1,1,0,1,0,1,36.97533726,72.32596966
122,0,0,0,1,1,1,1,0,1,0,36.97718768,72.32782008
101,0,0,0,1,1,0,0,1,0,1,39.33757096,72.33149454
185,0,0,1,0,1,1,1,0,0,1,36.98215158,72.33278398
169,0,0,1,0,1,0,1,0,0,1,39.33900262,72.3329262
376,0,1,0,1,1,1,1,0,0,0,36.98346357,72.33409597
115,0,0,0,1,1,1,0,0,1,1,36.98436858,72.33500098
179,0,0,1,0,1,1,0,0,1,1,36.98538666,72.33601906
182,0,0,1,0,1,1,0,1,1,0,36.98883766,72.33947006
186,0,0,1,0,1,1,1,0,1,0,36.99728277,72.34791517
188,0,0,1,0,1,1,1,1,0,0,36.99849032,72.34912272
106,0,0,0,1,1,0,1,0,1,0,39.35977414,72.35369771
102,0,0,0,1,1,0,0,1,1,0,39.36201297,72.35593655
550,1,0,0,0,1,0,0,1,1,0,39.36605269,72.35997626
124,0,0,0,1,1,1,1,1,0,0,37.0124323,72.3630647
554,1,0,0,0,1,0,1,0,1,0,39.37490388,72.36882745
297,0,1,0,0,1,0,1,0,0,1,39.3798513,72.37377488
424,0,1,1,0,1,0,1,0,0,0,39.38861691,72.38254048
616,1,0,0,1,1,0,1,0,0,0,39.39275564,72.38667922
565,1,0,0,0,1,1,0,1,0,1,37.04237373,72.39300613
609,1,0,0,1,1,0,0,0,0,1,39.39950469,72.39342826
804,1,1,0,0,1,0,0,1,0,0,39.39985487,72.39377845
418,0,1,1,0,1,0,0,0,1,0,39.40019281,72.39411638
610,1,0,0,1,1,0,0,0,1,0,39.40190939,72.39583296
353,0,1,0,1,1,0,0,0,0,1,39.40231388,72.39623745
801,1,1,0,0,1,0,0,0,0,1,39.40254638,72.39646996
612,1,0,0,1,1,0,0,1,0,0,39.40286851,72.39679209
808,1,1,0,0,1,0,1,0,0,0,39.40568102,72.39960459
547,1,0,0,0,1,0,0,0,1,1,39.40600932,72.3999329
570,1,0,0,0,1,1,1,0,1,0,37.05065714,72.40128954
802,1,1,0,0,1,0,0,0,1,0,39.40739365,72.40131722
420,0,1,1,0,1,0,0,1,0,0,39.40963203,72.4035556
99,0,0,0,1,1,0,0,0,1,1,39.4097152,72.40363877
354,0,1,0,1,1,0,0,0,1,0,39.40972995,72.40365353
360,0,1,0,1,1,0,1,0,0,0,39.41083696,72.40476054
556,1,0,0,0,1,0,1,1,0,0,39.41390518,72.40782876
864,1,1,0,1,1,0,0,0,0,0,39.41399845,72.40792203
293,0,1,0,0,1,0,0,1,0,1,39.41476393,72.40868751
417,0,1,1,0,1,0,0,0,0,1,39.41549027,72.40941385
563,1,0,0,0,1,1,0,0,1,1,37.05896636,72.40959876
108,0,0,0,1,1,0,1,1,0,0,39.4164299,72.41035348
298,0,1,0,0,1,0,1,0,1,0,39.43504246,72.42896604
294,0,1,0,0,1,0,0,1,1,0,39.43514434,72.42906791
1,0,0,0,0,0,0,0,0,0,1,46.54372841,72.4675255
170,0,0,1,0,1,0,1,0,1,0,39.47742286,72.47134643
166,0,0,1,0,1,0,0,1,1,0,39.47826236,72.47218593
300,0,1,0,0,1,0,1,1,0,0,39.48752823,72.48145181
291,0,1,0,0,1,0,0,0,1,1,39.48883055,72.48275412
572,1,0,0,0,1,1,1,1,0,0,37.19294596,72.54357836
82,0,0,0,1,0,1,0,0,1,0,41.91616906,72.5533838
84,0,0,0,1,0,1,0,1,0,0,41.92596953,72.56318428
163,0,0,1,0,1,0,0,0,1,1,39.57550734,72.56943091
172,0,0,1,0,1,0,1,1,0,0,39.57898718,72.57291076
532,1,0,0,0,0,1,0,1,0,0,42.09395654,72.73117129
536,1,0,0,0,0,1,1,0,0,0,42.09765258,72.73486732
274,0,1,0,0,0,1,0,0,1,0,42.1272533,72.76446805
530,1,0,0,0,0,1,0,0,1,0,42.13817923,72.77539397
529,1,0,0,0,0,1,0,0,0,1,42.15721471,72.79442945
592,1,0,0,1,0,1,0,0,0,0,42.15945387,72.79666862
88,0,0,0,1,0,1,1,0,0,0,42.28256863,72.91978338
8,0,0,0,0,0,0,1,0,0,0,47.04074025,72.96453735
784,1,1,0,0,0,1,0,0,0,0,42.32999147,72.96720622
4,0,0,0,0,0,0,0,1,0,0,47.05035607,72.97415316
20,0,0,0,0,0,1,0,1,0,0,44.71143543,72.99194135
24,0,0,0,0,0,1,1,0,0,0,44.75954582,73.04005174
2,0,0,0,0,0,0,0,0,1,0,47.12041591,73.044213
336,0,1,0,1,0,1,0,0,0,0,42.4216084,73.05882315
18,0,0,0,0,0,1,0,0,1,0,44.80213516,73.08264108
656,1,0,1,0,0,1,0,0,0,0,42.46114844,73.09836319
17,0,0,0,0,0,1,0,0,0,1,44.87638857,73.15689449
276,0,1,0,0,0,1,0,1,0,0,42.59487655,73.2320913
280,0,1,0,0,0,1,1,0,0,0,42.62381981,73.26103456
208,0,0,1,1,0,1,0,0,0,0,42.65854193,73.29575667
273,0,1,0,0,0,1,0,0,0,1,42.70178064,73.33899538
400,0,1,1,0,0,1,0,0,0,0,42.90743604,73.54465078
146,0,0,1,0,0,1,0,0,1,0,42.98122302,73.61843777
0,0,0,0,0,0,0,0,0,0,0,50.14249834,73.70958661
641,1,0,1,0,0,0,0,0,0,1,43.1425016,73.77971635
148,0,0,1,0,0,1,0,1,0,0,43.26410938,73.90132412
152,0,0,1,0,0,1,1,0,0,0,43.28878453,73.92599928
67,0,0,0,1,0,0,0,0,1,1,43.34658485,73.9837996
642,1,0,1,0,0,0,0,0,1,0,43.41598776,74.05320251
145,0,0,1,0,0,1,0,0,0,1,43.41996882,74.05718356
517,1,0,0,0,0,0,0,1,0,1,43.54179271,74.17900746
580,1,0,0,1,0,0,0,1,0,0,43.55611932,74.19333407
648,1,0,1,0,0,0,1,0,0,0,43.59315806,74.23037281
644,1,0,1,0,0,0,0,1,0,0,43.60578765,74.2430024
584,1,0,0,1,0,0,1,0,0,0,43.61292375,74.25013849
776,1,1,0,0,0,0,1,0,0,0,43.61692703,74.25414178
772,1,1,0,0,0,0,0,1,0,0,43.62667699,74.26389174
518,1,0,0,0,0,0,0,1,1,0,43.62885288,74.26606762
521,1,0,0,0,0,0,1,0,0,1,43.64601826,74.283233
578,1,0,0,1,0,0,0,0,1,0,43.66637576,74.3035905
577,1,0,0,1,0,0,0,0,0,1,43.66648481,74.30369956
321,0,1,0,1,0,0,0,0,0,1,43.67362254,74.31083729
522,1,0,0,0,0,0,1,0,1,0,43.67439143,74.31160618
770,1,1,0,0,0,0,0,0,1,0,43.67861583,74.31583057
769,1,1,0,0,0,0,0,0,0,1,43.68587664,74.32309139
524,1,0,0,0,0,0,1,1,0,0,43.71504412,74.35225886
328,0,1,0,1,0,0,1,0,0,0,43.77084637,74.40806111
73,0,0,0,1,0,0,1,0,0,1,43.78358225,74.42079699
69,0,0,0,1,0,0,0,1,0,1,43.78836217,74.42557692
324,0,1,0,1,0,0,0,1,0,0,43.79355829,74.43077303
196,0,0,1,1,0,0,0,1,0,0,43.8045616,74.44177635
515,1,0,0,0,0,0,0,0,1,1,43.81422122,74.45143597
200,0,0,1,1,0,0,1,0,0,0,43.81575381,74.45296855
322,0,1,0,1,0,0,0,0,1,0,43.81912841,74.45634315
70,0,0,0,1,0,0,0,1,1,0,43.87538737,74.51260212
45,0,0,0,0,1,0,1,1,0,1,41.51976904,74.51369261
43,0,0,0,0,1,0,1,0,1,1,41.52630349,74.52022706
194,0,0,1,1,0,0,0,0,1,0,43.90148463,74.53869938
39,0,0,0,0,1,0,0,1,1,1,41.54984549,74.54376906
193,0,0,1,1,0,0,0,0,0,1,43.91223702,74.54945177
74,0,0,0,1,0,0,1,0,1,0,43.91402758,74.55124233
46,0,0,0,0,1,0,1,1,1,0,41.5726471,74.56657067
76,0,0,0,1,0,0,1,1,0,0,43.98064349,74.61785824
261,0,1,0,0,0,0,0,1,0,1,44.120614,74.75782875
265,0,1,0,0,0,0,1,0,0,1,44.13465515,74.7718699
392,0,1,1,0,0,0,1,0,0,0,44.16160027,74.79881502
388,0,1,1,0,0,0,0,1,0,0,44.17213681,74.80935156
266,0,1,0,0,0,0,1,0,1,0,44.22427117,74.86148592
262,0,1,0,0,0,0,0,1,1,0,44.24788081,74.88509556
386,0,1,1,0,0,0,0,0,1,0,44.25760015,74.8948149
385,0,1,1,0,0,0,0,0,0,1,44.27604801,74.91326276
268,0,1,0,0,0,0,1,1,0,0,44.31732141,74.95453616
259,0,1,0,0,0,0,0,0,1,1,44.42252982,75.05974457
61,0,0,0,0,1,1,1,1,0,1,39.80725128,75.15788368
59,0,0,0,0,1,1,1,0,1,1,39.84209182,75.19272422
55,0,0,0,0,1,1,0,1,1,1,39.86337435,75.21400675
62,0,0,0,0,1,1,1,1,1,0,39.9278558,75.2784882
704,1,0,1,1,0,0,0,0,0,0,44.64675335,75.2839681
896,1,1,1,0,0,0,0,0,0,0,44.64831037,75.28552511
832,1,1,0,1,0,0,0,0,0,0,44.70180522,75.33901997
448,0,1,1,1,0,0,0,0,0,0,44.75135387,75.38856861
137,0,0,1,0,0,0,1,0,0,1,45.09107586,75.72829061
930,1,1,1,0,1,0,0,0,1,0,40.69440568,76.04503808
133,0,0,1,0,0,0,0,1,0,1,45.44632305,76.08353779
738,1,0,1,1,1,0,0,0,1,0,40.82281788,76.17345028
740,1,0,1,1,1,0,0,1,0,0,40.85685322,76.20748562
134,0,0,1,0,0,0,0,1,1,0,45.593307,76.23052174
691,1,0,1,0,1,1,0,0,1,1,38.59061148,76.2979527
138,0,0,1,0,0,0,1,0,1,0,45.66206423,76.29927898
677,1,0,1,0,1,0,0,1,0,1,40.95350062,76.30413302
611,1,0,0,1,1,0,0,0,1,1,40.96233787,76.31297027
140,0,0,1,0,0,0,1,1,0,0,45.70157992,76.33879467
555,1,0,0,0,1,0,1,0,1,1,41.02663241,76.37726481
419,0,1,1,0,1,0,0,0,1,1,41.03213391,76.38276631
593,1,0,0,1,0,1,0,0,0,1,43.39864914,76.39257271
785,1,1,0,0,0,1,0,0,0,1,43.40527119,76.39919477
551,1,0,0,0,1,0,0,1,1,1,41.05935962,76.40999202
803,1,1,0,0,1,0,0,0,1,1,41.07062086,76.42125326
311,0,1,0,0,1,1,0,1,1,1,38.72834636,76.43568759
681,1,0,1,0,1,0,1,0,0,1,41.09128976,76.44192216
533,1,0,0,0,0,1,0,1,0,1,43.44874553,76.4426691
613,1,0,0,1,1,0,0,1,0,1,41.09293711,76.44356951
868,1,1,0,1,1,0,0,1,0,0,41.10274224,76.45337464
438,0,1,1,0,1,1,0,1,1,0,38.74804339,76.45538461
754,1,0,1,1,1,1,0,0,1,0,38.75766509,76.46500632
187,0,0,1,0,1,1,1,0,1,1,38.75968395,76.46702518
437,0,1,1,0,1,1,0,1,0,1,38.76187558,76.4692168
992,1,1,1,1,1,0,0,0,0,0,41.12189429,76.47252669
435,0,1,1,0,1,1,0,0,1,1,38.7657075,76.47304872
945,1,1,1,0,1,1,0,0,0,1,38.77225828,76.47959951
946,1,1,1,0,1,1,0,0,1,0,38.77333579,76.48067702
929,1,1,1,0,1,0,0,0,0,1,41.13151793,76.48215033
498,0,1,1,1,1,1,0,0,1,0,38.77576351,76.48310474
737,1,0,1,1,1,0,0,0,0,1,41.13441643,76.48504883
441,0,1,1,0,1,1,1,0,0,1,38.77866018,76.48600141
245,0,0,1,1,1,1,0,1,0,1,38.78434007,76.4916813
932,1,1,1,0,1,0,0,1,0,0,41.14169983,76.49233223
233,0,0,1,1,1,0,1,0,0,1,41.14491303,76.49554543
229,0,0,1,1,1,0,0,1,0,1,41.14527212,76.49590452
936,1,1,1,0,1,0,1,0,0,0,41.1459225,76.4965549
497,0,1,1,1,1,1,0,0,0,1,38.78956462,76.49690585
249,0,0,1,1,1,1,1,0,0,1,38.7901506,76.49749182
1008,1,1,1,1,1,1,0,0,0,0,38.79045384,76.49779507
317,0,1,0,0,1,1,1,1,0,1,38.79045791,76.49779914
753,1,0,1,1,1,1,0,0,0,1,38.79143876,76.49877999
131,0,0,1,0,0,0,0,0,1,1,45.86218628,76.49940103
697,1,0,1,0,1,1,1,0,0,1,38.79611546,76.50345668
442,0,1,1,0,1,1,1,0,1,0,38.79674173,76.50408296
243,0,0,1,1,1,1,0,0,1,1,38.79790948,76.5052507
444,0,1,1,0,1,1,1,1,0,0,38.79980142,76.50714265
693,1,0,1,0,1,1,0,1,0,1,38.80217512,76.50951635
630,1,0,0,1,1,1,0,1,1,0,38.8050241,76.51236532
744,1,0,1,1,1,0,1,0,0,0,41.16556608,76.51619848
694,1,0,1,0,1,1,0,1,1,0,38.80903102,76.51637225
250,0,0,1,1,1,1,1,0,1,0,38.81024591,76.51758714
952,1,1,1,0,1,1,1,0,0,0,38.81119629,76.51853752
377,0,1,0,1,1,1,1,0,0,1,38.81265589,76.51999711
948,1,1,1,0,1,1,0,1,0,0,38.81319639,76.52053762
252,0,0,1,1,1,1,1,1,0,0,38.81500496,76.52234618
756,1,0,1,1,1,1,0,1,0,0,38.82081168,76.52815291
825,1,1,0,0,1,1,1,0,0,1,38.82229846,76.52963968
698,1,0,1,0,1,1,1,0,1,0,38.82233286,76.52967408
760,1,0,1,1,1,1,1,0,0,0,38.82558114,76.53292237
633,1,0,0,1,1,1,1,0,0,1,38.82578215,76.53312338
682,1,0,1,0,1,0,1,0,1,0,41.18383237,76.53446477
504,0,1,1,1,1,1,1,0,0,0,38.82719854,76.53453976
500,0,1,1,1,1,1,0,1,0,0,38.82898746,76.53632869
246,0,0,1,1,1,1,0,1,1,0,38.83318808,76.5405293
315,0,1,0,0,1,1,1,0,1,1,38.83688214,76.54422337
678,1,0,1,0,1,0,0,1,1,0,41.19385554,76.54448794
481,0,1,1,1,1,0,0,0,0,1,41.1975038,76.5481362
629,1,0,0,1,1,1,0,1,0,1,38.8436258,76.55096703
373,0,1,0,1,1,1,0,1,0,1,38.84996718,76.55730841
378,0,1,0,1,1,1,1,0,1,0,38.85236754,76.55970877
700,1,0,1,0,1,1,1,1,0,0,38.85275765,76.56009888
819,1,1,0,0,1,1,0,0,1,1,38.85597925,76.56332047
881,1,1,0,1,1,1,0,0,0,1,38.85766006,76.56500129
425,0,1,1,0,1,0,1,0,0,1,41.21470768,76.56534008
634,1,0,0,1,1,1,1,0,1,0,38.85886433,76.56620555
882,1,1,0,1,1,1,0,0,1,0,38.86099666,76.56833789
627,1,0,0,1,1,1,0,0,1,1,38.86154285,76.56888407
884,1,1,0,1,1,1,0,1,0,0,38.86444901,76.57179024
482,0,1,1,1,1,0,0,0,1,0,41.22122971,76.57186211
230,0,0,1,1,1,0,0,1,1,0,41.22158477,76.57221717
821,1,1,0,0,1,1,0,1,0,1,38.86691343,76.57425466
374,0,1,0,1,1,1,0,1,1,0,38.86967075,76.57701197
234,0,0,1,1,1,0,1,0,1,0,41.22685289,76.57748529
357,0,1,0,1,1,0,0,1,0,1,41.22874967,76.57938207
371,0,1,0,1,1,1,0,0,1,1,38.87323454,76.58057577
684,1,0,1,0,1,0,1,1,0,0,41.23366745,76.58429985
675,1,0,1,0,1,0,0,0,1,1,41.23522984,76.58586224
822,1,1,0,0,1,1,0,1,1,0,38.88446662,76.59180785
318,0,1,0,0,1,1,1,1,1,0,38.8865944,76.59393563
888,1,1,0,1,1,1,1,0,0,0,38.88719023,76.59453146
806,1,1,0,0,1,0,0,1,1,0,41.25317721,76.60380961
484,0,1,1,1,1,0,0,1,0,0,41.25663878,76.60727118
826,1,1,0,0,1,1,1,0,1,0,38.90554257,76.6128838
488,0,1,1,1,1,0,1,0,0,0,41.26358845,76.61422085
227,0,0,1,1,1,0,0,0,1,1,41.28946364,76.64009604
236,0,0,1,1,1,0,1,1,0,0,41.29318788,76.64382028
573,1,0,0,0,1,1,1,1,0,1,38.94303459,76.65037581
421,0,1,1,0,1,0,0,1,0,1,41.30574238,76.65637479
125,0,0,0,1,1,1,1,1,0,1,38.94962521,76.65696644
557,1,0,0,0,1,0,1,1,0,1,41.30889246,76.65952486
809,1,1,0,0,1,0,1,0,0,1,41.30981037,76.66044277
617,1,0,0,1,1,0,1,0,0,1,41.31531438,76.66594678
107,0,0,0,1,1,0,1,0,1,1,41.3178994,76.6685318
119,0,0,0,1,1,1,0,1,1,1,38.96550793,76.67284915
828,1,1,0,0,1,1,1,1,0,0,38.9681498,76.67549103
361,0,1,0,1,1,0,1,0,0,1,41.32636102,76.67699342
123,0,0,0,1,1,1,1,0,1,1,38.96985569,76.67719691
422,0,1,1,0,1,0,0,1,1,0,41.32715059,76.67778299
189,0,0,1,0,1,1,1,1,0,1,38.97068878,76.67803001
173,0,0,1,0,1,0,1,1,0,1,41.33242113,76.68305353
183,0,0,1,0,1,1,0,1,1,1,38.97795062,76.68529185
103,0,0,0,1,1,0,0,1,1,1,41.33562365,76.68625605
109,0,0,0,1,1,0,1,1,0,1,41.33989832,76.69053072
