,0,1,2,3,4,5,6,7,8,9,10,AIC,BIC
64,0,0,0,0,1,0,0,0,0,0,0,37.22561136,65.50611728
96,0,0,0,0,1,1,0,0,0,0,0,35.99083978,66.62805453
192,0,0,0,1,1,0,0,0,0,0,0,36.92294257,67.56015731
320,0,0,1,0,1,0,0,0,0,0,0,37.19376859,67.83098333
608,0,1,0,0,1,1,0,0,0,0,0,34.86852114,67.86244472
352,0,0,1,0,1,1,0,0,0,0,0,34.98535818,67.97928175
224,0,0,0,1,1,1,0,0,0,0,0,34.98928978,67.98321335
1088,1,0,0,0,1,0,0,0,0,0,0,37.40950536,68.04672011
576,0,1,0,0,1,0,0,0,0,0,0,37.41451689,68.05173163
1120,1,0,0,0,1,1,0,0,0,0,0,35.0735167,68.06744028
65,0,0,0,0,1,0,0,0,0,0,1,37.78028516,68.41749991
8,0,0,0,0,0,0,0,1,0,0,0,41.26200957,69.54251549
321,0,0,1,0,1,0,0,0,0,0,1,36.75292272,69.7468463
577,0,1,0,0,1,0,0,0,0,0,1,36.80820707,69.80213065
72,0,0,0,0,1,0,0,1,0,0,0,39.25758887,69.89480362
66,0,0,0,0,1,0,0,0,0,1,0,39.25958747,69.89680222
144,0,0,0,1,0,0,1,0,0,0,0,39.28702862,69.92424337
193,0,0,0,1,1,0,0,0,0,0,1,36.98034077,69.97426434
1089,1,0,0,0,1,0,0,0,0,0,1,37.06744724,70.06137082
68,0,0,0,0,1,0,0,0,1,0,0,39.59993658,70.23715133
80,0,0,0,0,1,0,1,0,0,0,0,39.6188876,70.25610234
69,0,0,0,0,1,0,0,0,1,0,1,37.63000768,70.62393125
98,0,0,0,0,1,1,0,0,0,1,0,37.7860967,70.78002027
100,0,0,0,0,1,1,0,0,1,0,0,37.94935627,70.94327984
97,0,0,0,0,1,1,0,0,0,0,1,37.95963133,70.9535549
104,0,0,0,0,1,1,0,1,0,0,0,37.97337515,70.96729872
112,0,0,0,0,1,1,1,0,0,0,0,37.97747761,70.97140118
1028,1,0,0,0,0,0,0,0,1,0,0,40.45720196,71.0944167
1024,1,0,0,0,0,0,0,0,0,0,0,42.87214127,71.15264719
4,0,0,0,0,0,0,0,0,1,0,0,43.08053443,71.36104035
128,0,0,0,1,0,0,0,0,0,0,0,43.21060881,71.49111473
528,0,1,0,0,0,0,1,0,0,0,0,40.86409079,71.50130553
67,0,0,0,0,1,0,0,0,0,1,1,38.60845101,71.60237459
581,0,1,0,0,1,0,0,0,1,0,1,36.43613162,71.78676402
12,0,0,0,0,0,0,0,1,1,0,0,41.16931703,71.80653177
579,0,1,0,0,1,0,0,0,0,1,1,36.45851889,71.80915129
197,0,0,0,1,1,0,0,0,1,0,1,36.48221141,71.83284381
1093,1,0,0,0,1,0,0,0,1,0,1,36.52546375,71.87609615
81,0,0,0,0,1,0,1,0,0,0,1,38.88784508,71.88176865
73,0,0,0,0,1,0,0,1,0,0,1,38.896112,71.89003557
1091,1,0,0,0,1,0,0,0,0,1,1,36.54672853,71.89736093
512,0,1,0,0,0,0,0,0,0,0,0,43.64647608,71.926982
196,0,0,0,1,1,0,0,0,1,0,0,38.95444696,71.94837054
353,0,0,1,0,1,1,0,0,0,0,1,36.60435389,71.95498629
1121,1,0,0,0,1,1,0,0,0,0,1,36.64118304,71.99181544
609,0,1,0,0,1,1,0,0,0,0,1,36.64541125,71.99604365
612,0,1,0,0,1,1,0,0,1,0,0,36.64665393,71.99728633
1096,1,0,0,0,1,0,0,1,0,0,0,39.08793684,72.08186042
