,0,1,2,3,4,5,6,7,8,9,10,11,AIC,BIC
392,0,0,0,1,1,0,0,0,1,0,0,0,41.2137676,76.5644
1232,0,1,0,0,1,1,0,1,0,0,0,0,38.86438713,76.57172836
389,0,0,0,1,1,0,0,0,0,1,0,1,38.86831931,76.57566053
2496,1,0,0,1,1,1,0,0,0,0,0,0,38.86969887,76.5770401
3264,1,1,0,0,1,1,0,0,0,0,0,0,38.86993986,76.57728109
1472,0,1,0,1,1,1,0,0,0,0,0,0,38.87558546,76.58292668
2688,1,0,1,0,1,0,0,0,0,0,0,0,41.23785067,76.58848307
416,0,0,0,1,1,0,1,0,0,0,0,0,41.24973142,76.60036382
2064,1,0,0,0,0,0,0,1,0,0,0,0,43.61635372,76.6102773
1248,0,1,0,0,1,1,1,0,0,0,0,0,38.90447041,76.61181163
1160,0,1,0,0,1,0,0,0,1,0,0,0,41.26506904,76.61570144
896,0,0,1,1,1,0,0,0,0,0,0,0,41.26564701,76.61627941
1408,0,1,0,1,1,0,0,0,0,0,0,0,41.27405051,76.62468291
1154,0,1,0,0,1,0,0,0,0,0,1,0,41.27588039,76.62651279
452,0,0,0,1,1,1,0,0,0,1,0,0,38.97389161,76.68123284
138,0,0,0,0,1,0,0,0,1,0,1,0,41.33405725,76.68468965
456,0,0,0,1,1,1,0,0,1,0,0,0,38.98383357,76.6911748
464,0,0,0,1,1,1,0,1,0,0,0,0,38.98974964,76.69709086
480,0,0,0,1,1,1,1,0,0,0,0,0,39.00813626,76.71547749
400,0,0,0,1,1,0,0,1,0,0,0,0,41.40342893,76.75406133
2208,1,0,0,0,1,0,1,0,0,0,0,0,41.40586343,76.75649583
2184,1,0,0,0,1,0,0,0,1,0,0,0,41.40786801,76.75850041
2244,1,0,0,0,1,1,0,0,0,1,0,0,39.05347467,76.76081589
3200,1,1,0,0,1,0,0,0,0,0,0,0,41.41379065,76.76442305
2248,1,0,0,0,1,1,0,0,1,0,0,0,39.058046,76.76538722
1664,0,1,1,0,1,0,0,0,0,0,0,0,41.42059606,76.77122846
2256,1,0,0,0,1,1,0,1,0,0,0,0,39.08569363,76.79303486
2272,1,0,0,0,1,1,1,0,0,0,0,0,39.08872483,76.79606606
672,0,0,1,0,1,0,1,0,0,0,0,0,41.46761205,76.81824445
642,0,0,1,0,1,0,0,0,0,0,1,0,41.47778746,76.82841986
656,0,0,1,0,1,0,0,1,0,0,0,0,41.47883866,76.82947106
1184,0,1,0,0,1,0,1,0,0,0,0,0,41.48376818,76.83440058
24,0,0,0,0,0,0,0,1,1,0,0,0,43.84277479,76.83669837
1168,0,1,0,0,1,0,0,1,0,0,0,0,41.49464466,76.84527706
162,0,0,0,0,1,0,1,0,0,0,1,0,41.51112826,76.86176066
134,0,0,0,0,1,0,0,0,0,1,1,0,41.52003289,76.87066529
146,0,0,0,0,1,0,0,1,0,0,1,0,41.52534209,76.87597449
40,0,0,0,0,0,0,1,0,1,0,0,0,43.89167329,76.88559686
1,0,0,0,0,0,0,0,0,0,0,0,1,46.27295935,76.91017409
1040,0,1,0,0,0,0,0,1,0,0,0,0,44.001697,76.99562057
1169,0,1,0,0,1,0,0,1,0,0,0,1,39.36820525,77.07554648
2112,1,0,0,0,0,1,0,0,0,0,0,0,44.24893977,77.24286334
163,0,0,0,0,1,0,1,0,0,0,1,1,39.61982308,77.32716431
417,0,0,0,1,1,0,1,0,0,0,0,1,39.66805621,77.37539743
1185,0,1,0,0,1,0,1,0,0,0,0,1,39.7445699,77.45191113
673,0,0,1,0,1,0,1,0,0,0,0,1,39.77795144,77.48529267
1032,0,1,0,0,0,0,0,0,1,0,0,0,44.57566239,77.56958596
20,0,0,0,0,0,0,0,1,0,1,0,0,44.57652622,77.57044979
320,0,0,0,1,0,1,0,0,0,0,0,0,44.58923557,77.58315915
657,0,0,1,0,1,0,0,1,0,0,0,1,39.87793878,77.58528001
147,0,0,0,0,1,0,0,1,0,0,1,1,39.87862977,77.58597099
2144,1,0,0,0,0,1,1,0,0,0,0,0,42.24586093,77.59649333
10,0,0,0,0,0,0,0,0,1,0,1,0,44.70403338,77.69795696
2084,1,0,0,0,0,0,1,0,0,1,0,0,42.3864987,77.7371311
264,0,0,0,1,0,0,0,0,1,0,0,0,44.78310285,77.77702642
6,0,0,0,0,0,0,0,0,0,1,1,0,44.81504509,77.80896867
