,time,V Mean,IFN mean,MCP1 Mean
0,0,3.03166E-06,0,120.0813011
1,0.125,1.10643E-06,0.260071965,171.2968929
2,0.25,3.26575E-05,0.880691356,164.7017402
3,0.375,0.00017135,1.610274904,127.5245016
4,0.5,0.000715121,1.244287672,128.9834975
5,0.75,0.004958375,4.958409179,132.7858039
6,1,0.0105014,6.652818414,186.598612
7,1.25,0.017351902,7.276961931,256.8303341
8,1.5,0.009420062,6.899645547,662.3985635
9,2,0.000785005,7.723633668,938.3102637
10,2.5,0.00259203,7.126168574,813.1948346
11,3,0.000517203,7.345539215,544.0304358
12,5,0.000348319,6.610806415,348.6800229
