,0,1,2,3,4,5,6,7,8,9,10,AIC,BIC
1122,1,0,0,0,1,1,0,0,0,1,0,37.05913598,72.40976838
1124,1,0,0,0,1,1,0,0,1,0,0,37.06603722,72.41666962
1128,1,0,0,0,1,1,0,1,0,0,0,37.08027466,72.43090706
16,0,0,0,0,0,0,1,0,0,0,0,44.16858273,72.44908865
584,0,1,0,0,1,0,0,1,0,0,0,39.49106553,72.4849891
1136,1,0,0,0,1,1,1,0,0,0,0,37.17484188,72.52547428
71,0,0,0,0,1,0,0,0,1,1,1,37.2118216,72.562454
336,0,0,1,0,1,0,1,0,0,0,0,39.57019477,72.56411834
322,0,0,1,0,1,0,0,0,0,1,0,39.58100274,72.57492631
324,0,0,1,0,1,0,0,0,1,0,0,39.58423652,72.5781601
1,0,0,0,0,0,0,0,0,0,0,1,44.37899653,72.65950245
585,0,1,0,0,1,0,0,1,0,0,1,37.4957076,72.84634
593,0,1,0,0,1,0,1,0,0,0,1,37.51696103,72.86759343
258,0,0,1,0,0,0,0,0,0,1,0,42.25449286,72.89170761
201,0,0,0,1,1,0,0,1,0,0,1,37.5904181,72.94105051
1056,1,0,0,0,0,1,0,0,0,0,0,42.48209144,73.11930619
1105,1,0,0,0,1,0,1,0,0,0,1,37.77957627,73.13020867
40,0,0,0,0,0,1,0,1,0,0,0,42.49796881,73.13518356
392,0,0,1,1,0,0,0,1,0,0,0,40.20669955,73.20062313
1093,1,0,0,0,1,0,0,0,1,0,1,37.87331891,73.22395131
20,0,0,0,0,0,0,1,0,1,0,0,42.60204356,73.2392583
522,0,1,0,0,0,0,0,1,0,1,0,40.2716843,73.26560788
34,0,0,0,0,0,1,0,0,0,1,0,42.6487855,73.28600024
1028,1,0,0,0,0,0,0,0,1,0,0,42.73015033,73.36736508
160,0,0,0,1,0,1,0,0,0,0,0,42.73588106,73.37309581
6,0,0,0,0,0,0,0,0,1,1,0,42.74917196,73.3863867
12,0,0,0,0,0,0,0,1,1,0,0,42.76365479,73.40086954
337,0,0,1,0,1,0,1,0,0,0,1,38.07242531,73.42305771
544,0,1,0,0,0,1,0,0,0,0,0,42.80379281,73.44100755
36,0,0,0,0,0,1,0,0,1,0,0,42.82453356,73.46174831
9,0,0,0,0,0,0,0,1,0,0,1,42.87322107,73.51043582
75,0,0,0,0,1,0,0,1,0,1,1,38.22368236,73.57431476
32,0,0,0,0,0,1,0,0,0,0,0,45.38717183,73.66767775
329,0,0,1,0,1,0,0,1,0,0,1,38.38620995,73.73684235
