avg,min,max,gen,nevals,avg,min,max,gen,nevals
123.35917559453027,109.26213421341942,136.01928360660855,0,96,5.114583333333333,2,8,0,96
120.41290920266715,107.98311054239062,134.12322011256327,1,74,4.489583333333333,2,8,1,74
118.2573837463234,107.98171707732091,130.72148471135307,2,71,4.083333333333333,2,7,2,71
116.63811545179142,104.99283669319561,131.64636316097796,3,71,3.75,1,7,3,71
115.50507173037606,107.9732083827231,129.76364963413556,4,72,3.4375,1,7,4,72
114.86247240250185,107.9732083827231,125.40759939318798,5,78,3.25,1,6,5,78
114.15387784522527,103.61803020078149,130.72878552474737,6,72,3.1875,1,7,6,72
113.04498737685206,103.61771199893073,125.41141231060155,7,71,2.8333333333333335,1,6,7,71
111.93738874352017,103.61803020078149,121.06443691129832,8,76,2.5104166666666665,1,5,8,76
110.52645783446137,70.8466914004282,125.41042214260963,9,70,2.3229166666666665,0,6,9,70
109.72021305194808,70.84724577095382,121.68688393585225,10,76,2.1458333333333335,0,5,10,76
109.11705363117746,70.84664258633273,128.1551716428438,11,73,2.2083333333333335,0,6,11,73
108.57896401143087,70.84664258633273,121.05954547773285,12,68,2.1041666666666665,0,5,12,68
107.24024700301959,70.84681319344473,125.416911490881,13,79,2.03125,0,6,13,79
104.41271090392668,70.84661822816227,121.05752749330321,14,63,1.6666666666666667,0,5,14,63
101.5406212187495,70.84681319344473,117.7988105342248,15,73,1.4791666666666667,0,4,15,73
99.78635044181352,70.8466970838396,125.4149300505212,16,71,1.4479166666666667,0,6,16,71
96.74399164726442,70.84667472068563,118.64244831641875,17,67,1.1770833333333333,0,4,17,67
94.44142958463704,70.84645741099115,121.05181419306402,18,73,1.15625,0,5,18,73
92.50518300276359,70.84639996036645,121.04752075785424,19,70,0.96875,0,5,19,70
87.82830560056958,70.84632613917853,117.40657692324191,20,59,0.7291666666666666,0,4,20,59
88.20266333653962,70.84632613917853,121.71485379552081,21,71,0.7708333333333334,0,4,21,71
88.22406631435568,70.84650442411385,117.35803143816712,22,77,0.6979166666666666,0,3,22,77
90.91378556761117,70.84666372157966,119.44890932852994,23,80,0.7604166666666666,0,4,23,80
88.04678772845732,70.84643140634215,116.69778068628081,24,66,0.6875,0,4,24,66
89.02278019628982,70.84664327760194,121.06445491411912,25,72,0.7291666666666666,0,5,25,72
88.35061495178354,70.84631955677432,123.02625973163734,26,79,0.71875,0,4,26,79
